ColumnName,abs_coef_mean_xgb,abs_coef_mean_lasso,coef_boruta,coef_sum
LotArea,1.0,0.11772410708580922,1.0,4.235448214171619
LotFrontage,0.8441773102930127,0.0013098204587566288,1.0,3.6909742615035386
GrLivArea,0.839519158527423,0.48498498498498493,1.0,4.649008287024816
BsmtUnfSF,0.7355371900826446,0.021308542585138326,1.0,3.513691465335566
GarageArea,0.6061607813673929,0.006517155453325666,1.0,3.225355873641437
TotalBsmtSF,0.5962434259954921,0.0718803910293272,1.0,3.3362476340496388
YearBuilt,0.5597295266716754,0.14107724746022618,1.0,3.4016135482638035
BsmtFinSF1,0.521412471825695,0.07868506804677017,1.0,3.20019507974493
1stFlrSF,0.4940646130728775,0.034470640853619575,1.0,3.0570705078529943
YearRemodAdd,0.43756574004507887,0.050859370008306176,1.0,2.97685022010677
GarageYrBlt,0.3774605559729527,0.0012139799373841926,1.0,2.757349071820674
MoSold,0.36393688955672426,0.0026835345984282154,0.9162790697674419,2.565798987845189
OpenPorchSF,0.29541697971450037,0.011213341000575043,0.9720930232558139,2.5574466879417788
MasVnrArea,0.28880540946656647,0.015430323940962238,0.9395348837209302,2.4875412342569176
WoodDeckSF,0.2754320060105184,0.02817711328349626,0.9255813953488372,2.458381029285704
2ndFlrSF,0.2444778362133734,0.07312631780716887,1.0,2.6352083080410846
EnclosedPorch,0.20631104432757327,0.015366430260047281,0.8837209302325582,2.2107968096403576
YrSold,0.17716003005259204,0.012331480416586799,0.8558139534883721,2.090610927915102
BedroomAbvGr,0.14079639368895566,0.006517155453325666,0.9441860465116279,2.182999191307818
TotRmsAbvGrd,0.1274229902329076,0.01610120759056929,0.9488372093023256,2.184722814251605
ScreenPorch,0.12516904583020283,0.04204204204204204,0.6511627906976745,1.6367477571398386
"SaleCondition_Abnormal Sale -  trade, foreclosure, short sale",0.1199098422238918,0.170691968564309,0.8093023255813954,2.199808272739192
Fireplaces,0.11825694966190835,0.03552488658871637,1.0,2.3075636725012494
OverallCond_Average,0.10848985725018782,0.07350967989265861,0.7302325581395348,1.8244641905647625
SaleCondition_Sale between family members,0.10698722764838468,0.0772794070666411,0.6,1.5685332694300516
BsmtFinSF2,0.104282494365139,0.0018848635869912465,0.813953488372093,1.8402416926484466
GarageCars,0.10398196844477836,0.11299597469810235,1.0,2.4339558862857613
BsmtFullBath,0.09496619083395944,0.04341575618171362,0.8465116279069768,1.9697871498452997
MSZoning_Commercial,0.09045830202854996,1.0,1.0,4.180916604057099
Neighborhood_Edwards,0.08955672426746807,0.23602325729985305,0.8325581395348838,2.3162762422044096
OverallCond_Below Average,0.08715251690458302,0.19995527442335953,0.8232558139534883,2.220727210562862
OverallCond_Fair,0.08354620586025545,0.4431346239856878,0.958139534883721,2.9696407294593286
Functional_Typical Functionality,0.08069120961682946,0.29387898536834706,0.8697674418604651,2.488675273691283
Neighborhood_Crawford,0.07558226897069872,0.3497220624880199,0.8930232558139535,2.636655174545344
Neighborhood_Stone Brook,0.07137490608564989,0.2868826273081592,0.2558139534883721,1.2281429737643625
OverallQual_Average,0.07062359128474831,0.04938981534726215,0.8976744186046511,2.0353756504733234
OverallQual_Below Average,0.06957175056348609,0.12849019231997955,0.9674418604651163,2.3310076066971637
CentralAir_No,0.06927122464312548,0.1309820458756629,1.0,2.4005065410375765
OverallCond_Good,0.06912096168294515,0.17513257938789853,0.7441860465116279,1.9768791751649433
OverallQual_Good,0.06836964688204358,0.11053606798287648,0.9023255813953488,2.1624625925205376
Condition1_Adjacent to arterial street,0.06776859504132232,0.032489936745255896,0.6465116279069767,1.4935403193871097
FullBath,0.06731780616078137,0.0583349306753562,0.9767441860465116,2.2047938457652982
OverallQual_Very Good,0.06626596543951915,0.32183247076864097,0.9627906976744186,2.7017782677651576
Condition1_Normal,0.06596543951915852,0.1416203437480033,0.7116279069767442,1.838427380487812
OverallCond_Very Good,0.06250939143501127,0.19414094946009838,0.5162790697674419,1.545858821325103
Neighborhood_Brookside,0.06070623591284749,0.07590569292696951,0.4790697674418605,1.231363392563355
BsmtExposure_Good Exposure,0.05965439519158528,0.12085489745064214,0.8511627906976744,2.0633441666798036
ExterQual_Average/Typical,0.0569496619083396,0.03635550444061082,1.0,2.1866103326979007
GarageType_Attached to home,0.05634861006761833,0.03287329883074564,0.986046511627907,2.150536841052542
OverallCond_Above Average,0.05559729526671676,0.0306689668391796,0.6930232558139535,1.5585790358396998
Neighborhood_Mitchell,0.055447032306536435,0.0804421442719315,0.48372093023255813,1.239220213622052
KitchenAbvGr,0.05063861758076634,0.05491661874640598,0.986046511627907,2.1832034959101585
OverallQual_Above Average,0.04943651389932382,0.001916810427448725,0.8418604651162791,1.7864275788861033
KitchenQual_Excellent,0.046280991735537194,0.1984857197623155,0.9953488372093023,2.4802310974143102
3SsnPorch,0.04613072877535687,0.007890869592997252,0.24186046511627912,0.5917641269692665
OverallQual_Fair,0.04583020285499625,0.26170851702766595,0.8046511627906976,2.2243797653467197
BsmtFinType1_Average Living Quarters,0.04583020285499625,0.009839626860903455,0.586046511627907,1.2834326826876135
HalfBath,0.04552967693463562,0.025301897642323174,0.9116279069767442,1.964918963107406
Neighborhood_NAmes,0.044027047332832456,0.010957766276915212,0.6186046511627907,1.347178929545077
LowQualFinSF,0.04297520661157025,0.02025429685004153,0.5488372093023256,1.2241334255278749
PoolArea,0.04297520661157025,0.008881221647179093,0.1813953488372093,0.4665035541919173
BsmtExposure_No Exposure,0.042374154770848986,0.04980512427320938,0.7488372093023256,1.682032976692768
